Subj,Subjnr,Prec,Weekly,Mode,P,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,LAKW,AUC.G,AUC.L,Alpha.G,Alpha.L,Gamma.G,Gamma.L,DWG10,DWG30,DWG50,DWG70,DWG90,DWL10,DWL30,DWL50,DWL70,DWL90,SSL4,SSL3,SSL2,SSL1,RP,SSG1,SSG2,SSG3,SSG4,PBSG10,PBSG30,PBSG50,PBSG70,PBSG90,PBSL10,PBSL30,PBSL50,PBSL70,PBSL90,BDG05,BDG510,BDL05,BDL510,D5G,RG,BetaG,D5L,RL,BetaL,Age,Gender,Weight,Height,Cigarettes,Alcohol,Exercise,BMI,TSCs,CRTs,PQNs,PQEs,PQPs,PQLs
43,43,1,2,3,100,10,10,10,10,10,10,10,10,10,10,5,0.359567901234568,0.582278481012658,1.91692456993694,0.713897100562361,2.20074666983623,1.64925799576532,0.03,0.091,0.19,0.744444444444444,0.875,0.06,0.23,0.282142857142857,0.795258620689655,0.931034482758621,-31.6,-20,-12,-5,0,25,27,31.5,40.5,3,9.1,19,31.4,36,-1.2,-4.6,-5.9,-22.1,-28.4,20.3,20.3,-15.7,-15.8,1.00049334015128,-0.000493096886789335,1.0019748213925,1,0,0.994949494949495,19,Female,57,167,0,10,2,20.4381655849977,3.91666666666667,3,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667
44,44,2,2,1,100,0,4,9,13,18,22,27,31,36,40,1.03986710963455,0.697407939409768,0.607398956975228,0.450674763417115,0.62720375119773,0.844898668710468,0.789530806458392,0.504162585700294,0.421710526315789,0.816075650118203,0.784988179669031,0.878368794326241,0.521197007481297,0.628740648379052,0.646508728179551,0.789377289377289,0.850732600732601,-230.1,-148.2,-68,-30.1,0,31.3,69.3,171.4,382.9,71,57.4,227.3,201,280,-74.8,-109.3,-115,-161.1,-181.2,185.5,185.6,-117.65,-117.65,0.998206087706175,0.0017971361985456,0.992690585193456,1.00249415541067,-0.00248795007652969,1.01001400861135,19,Male,70,186,0,7,4,20.2335530119089,2.83333333333333,1,0.5,0.5,0.333333333333333,0.5
45,45,2,2,2,100,10,12,14,17,19,21,23,26,28,30,1.37878787878788,0.576584507042254,0.535579345088161,0.731095042600176,0.878834100980698,0.677153376484637,2.84846127272346,0.512345679012346,0.519753086419753,0.496296296296296,0.569135802469136,0.834943639291465,0.0467171717171717,0.178030303030303,0.310126582278481,0.403481012658228,0.781481481481481,-79.4,-52.4,-35.6,-19.8,0,27.3,67.8,108.3,170.4,69.8,71,67.2,79,129.4,-3.7,-14.1,-23.6,-29.5,-55.8,82.5,93.2,-47.38,-60.8,1.01575578845494,-0.0155113942091368,0.957475198924651,1.0809070195885,-0.0748510446525767,1.11361431282934,18,Female,50,174,4,3,4,16.514731140177,,,,,,
46,46,2,1,3,100,0,0,0,0,0,0,0,0,0,200,3.22222222222222,0.545293522267207,0.538179916317992,0.841370147077398,0.81694214223581,0.818299369315102,2.29406120926453,0.443181818181818,0.791237113402062,0.78125,0.767074742268041,0.882731958762887,0.252183406113537,0.254366812227074,0.34443231441048,0.534018987341772,0.676424050632911,-119.5,-90,-58.4,-12.6,0,40.6,100,120,197.6,86.5,132.8,129.7,125.3,161.2,-13,-13.4,-29.9,-62.7,-80.7,102.5,90.54,-41.1,-37.3,0.985540213152398,0.0146719399722415,1.08908984373296,0.944980604913245,0.0582227770609174,0.840410126473769,19,Male,67,167,0,0,2,24.023808670085,3.33333333333333,3,0.333333333333333,0.5,0.166666666666667,0.666666666666667
47,47,2,1,3,20,0,0,0,0,0,0,0,0,0,200,1.06329113924051,0.525263157894737,0.471635367762128,0.868971764384066,1.14923700391582,0.685707309244772,1.71514560639178,0.182539682539683,0.506297229219144,0.562972292191436,0.617128463476071,0.67632241813602,0.0949367088607595,0.116033755274262,0.372093023255814,0.755924170616114,0.931279620853081,-63.9,-42.8,-36.6,-23.7,0,25.2,34,73.7,95,18.4,35,44,52.6,62,-9,-11,-30,-43.3,-58.1,47.02,47.02,-31.95,-31.95,0.998964488436973,0.00103658495873815,0.995864383012773,1,0,1,18,Male,62,189,0,1,2,17.3567369334565,3.16666666666667,3,0.833333333333333,0.5,0.5,0.5
48,48,2,2,3,66,20,20,20,20,20,20,20,20,20,20,1,0.636838989739542,0.404377880184332,0.582592645074775,1.48650675834161,0.706062616993598,0.591064322679346,0.403162055335968,0.447628458498024,0.51394422310757,0.619521912350598,0.816476345840131,0.253073770491803,0.345286885245902,0.622967479674797,0.539634146341463,0.563008130081301,-86.8,-79,-54.4,-30,0,30,80.6,130.8,253.4,61,70,83.4,104.6,163.4,-30.3,-39.3,-66.5,-58.3,-60.6,130.3,75.1,-42.1,-39.3,0.916907452600357,0.0906226109996076,1.11742289359072,0.977299373144248,0.0232279150888202,0.988037537056665,19,Female,67,178,0,5,3,21.1463199091024,2.66666666666667,,,,,
49,49,2,1,3,100,0,0,0,0,0,0,0,0,0,200,1.3125,0.686188811188811,0.456578947368421,0.438093147820949,1.11457391428367,0.797786732789374,2.44577376902949,0.331395348837209,0.729020979020979,0.519230769230769,0.839820359281437,0.795908183632735,0.0859375,0.203125,0.530487804878049,0.454545454545455,0.477272727272727,-95,-84,-43,-32,0,42,214,500,1001,98,476,236,680,592,-11,-26,-48,-41,-42,360.73,235.61,-36.11,-30.17,0.928910546577233,0.0765299238820267,0.901488392929449,0.851213722324791,0.174793091056911,0.764893397625504,18,Female,57,169,0,3,0,19.9572844088092,2.58333333333333,,,,,
50,50,1,2,3,100,10,10,10,10,10,10,10,10,10,10,0.39375,0.5825,0.461734693877551,0.749484280628682,1.18865111408944,0.851342458758926,1.12644765177981,0.75,0.8125,0.875,0.9375,0.99875,0.0078125,0.2421875,0.909090909090909,0.909090909090909,0.888636363636364,-98,-76,-54,-32,0,12.6,14.2,20,40,20,25,30,35,39.9,-1,-31,-90,-90,-88.2,18.1,15,-49,-49,0.934489632120752,0.0701028300662649,0.953252521036041,1,0,1,19,Male,69,181,0,2,0,21.0616281554287,3.08333333333333,3,0.666666666666667,0.166666666666667,0.333333333333333,0
51,51,2,1,3,100,0,0,0,0,0,0,0,0,0,200,1.6,0.406413612565445,0.506147540983606,1.57517518369226,0.960019287250536,2.47327612084036,0.652012533219081,0.257575757575758,0.310606060606061,0.424242424242424,0.424242424242424,0.602941176470588,0.375,0.1075,0.520833333333333,0.65625,0.707291666666667,-61,-47,-23,-20,0,32,65,82,95.5,33,40,55,55,72,-21.5,-8.6,-25,-38,-42.9,35.1,34.3,-30.45,-30.45,0.93747569509942,0.0666943209593815,0.78990082023864,0.999819754854906,0.000180277639263426,0.999279214326075,19,Male,90,185,0,10,0,26.2965668371074,2.41666666666667,3,0.666666666666667,0.333333333333333,0.333333333333333,0.5
52,52,1,1,3,80,0,0,0,0,0,0,0,0,0,100,1.42045454545455,0.604278794402583,0.611204013377926,0.628828445578632,0.597161085890854,0.780864139813536,0.710319953117485,0.186,0.509615384615385,0.642094017094017,0.716524216524216,0.720797720797721,0.501141552511416,0.517884322678843,0.429378531073446,0.778418451400329,0.759884678747941,-179.4,-118.7,-53,-17.6,0,25,53,123.2,185.8,18.6,55.7,92.9,113.8,115,-53.3,-57.7,-43,-125.6,-121.1,121.9,127.7,-43.05,-92.5,1.03645217509506,-0.0351701467476961,1.12001601933282,1.00330937386763,-0.00329845803679796,0.66960718768252,18,Male,79,182,0,2,4,23.8497765970293,3.66666666666667,3,0.166666666666667,0.4,0.166666666666667,0.5
53,53,2,2,2,66,10,12,14,17,19,21,23,26,28,30,5,0.505453752181501,0.475490196078431,0.995215457465871,1.11355056937271,2.48211170019164,0.71279592606609,0.0625,0.1875,0.276595744680851,0.526143790849673,0.800578034682081,0.01875,0.537878787878788,0.53030303030303,0.537878787878788,0.75,-10.2,-7.8,-4.5,-4,0,20,24.7,40,57.3,5,15,20.5,26.3,43.5,-0.3,-5,-4.9,-5,-7.8,26,26,-5.5,-5.6,0.98416638272887,0.0160883541126722,0.938153936214016,1.01351841916936,-0.0133381090206889,1.04147644047816,19,Male,69,178,0,7,2,21.7775533392248,3.33333333333333,3,0.333333333333333,0.666666666666667,0.5,0.666666666666667
55,55,1,2,2,100,5,6,7,8,9,11,12,13,14,15,1.31313131313131,0.51088850174216,0.230833333333333,0.948094204357992,8.78116896239786,6.09707281379476,10.5184038373128,0.105769230769231,0.271822033898305,0.290254237288136,0.374576271186441,0.305084745762712,0.0631313131313131,0.261494252873563,0.189393939393939,0.174242424242424,0.318965517241379,-30,-28.5,-29,-19.8,0,26,144,206.2,258.3,11,36.3,45,84.8,52,-5,-20,-15,-13.8,-21,125.1,125.1,-15.1,-15.5,0.99631019862266,0.00370346643288522,0.985322281540038,1.00657951509767,-0.00653650804430439,1.00008658190207,18,Female,44,157,2,3,0,17.8506227433162,2.41666666666667,,,,,
56,56,1,2,2,80,5,6,7,8,9,11,12,13,14,15,1.51020408163265,0.766807116104869,0.444852941176471,0.354217800704794,1.28378968558437,0.846789207265013,9.99523902630504,0.636919315403423,0.89483793517407,0.845138055222089,0.919567827130852,0.959783913565426,0.306896551724138,0.306896551724138,0.322413793103448,0.196938775510204,0.322413793103448,-68,-53.5,-39,-24.5,0,37,76.6,117.5,534,99,358.8,276,400,467,-27.8,-27.8,-28.7,-19.3,-28.7,259.66,259.66,-34.06,-34.06,0.998948469949739,0.00105263692962421,0.995800509442088,1.00049950074869,-0.000499251372255816,1.00199950049931,21,Male,62,182,7,17,4,18.7175461900737,2.33333333333333,2,0.833333333333333,0.5,0.4,0.5
57,57,2,1,3,75,0,0,0,0,0,0,0,0,0,200,1.00529100529101,0.454439252336449,0.493519585253456,1.23234067055096,1.01651882681651,1.94956195020623,2.47419345759346,0.0592105263157895,0.182894736842105,0.386363636363636,0.613636363636364,0.8,0.142195767195767,0.132275132275132,0.394465290806754,0.480769230769231,0.722160356347439,-173.6,-136,-91.1,-37.8,0,38,60,82,107,9,27.8,50,70,87,-21.5,-20,-68.6,-87,-131,49.48,49.48,-79.66,-79.66,0.977576687542453,0.0229376505631667,0.913278734422795,0.985634189774057,0.0145751947071113,0.943763201645442,18,Male,75,180,0,4,5,23.1481481481481,3.33333333333333,3,0.666666666666667,0.666666666666667,0.5,0.333333333333333
58,58,1,1,3,92,0,0,0,0,0,0,0,0,0,100,1.63636363636364,0.525,0.230263157894737,0.920736312837723,2.53647484175086,0.861259567162122,2.67651583321087,0.138888888888889,0.417857142857143,0.534246575342466,0.722602739726027,0.832474226804124,0.0227272727272727,0.0227272727272727,0.145454545454545,0.625,,-19,-19,-19,-11,0,18,25,39.6,59,10,22.7,27,38,46,-1,-1,-6.4,-17,-20,30,29.6,-9.4,-9.4,1.00059276864407,-0.000592417477562113,1.01423558819784,0.997885816175492,0.00211866306769548,0.99157004556172,19,Female,30,181,0,7,1,9.15722963279509,2.91666666666667,2,0.666666666666667,0.333333333333333,0.166666666666667,0.666666666666667
59,59,2,1,3,100,0,0,0,0,0,0,0,0,0,200,1.34883720930233,0.549721189591078,0.661413043478261,0.772255494966523,0.515599879401022,0.637215500143777,0.768175268120764,0.348360655737705,0.491803278688525,0.479508196721312,0.566901408450704,0.711267605633803,0.5,0.5,0.661538461538462,0.734615384615385,0.818181818181818,-230,-120,-55,-21.5,0,29,90,161,215.2,53,88,85,109,150,-55,-55,-97,-116,-150,109.96,4.36,-97,-117.59,0.582187384765453,0.717660028657048,1.74305901153694,1.00271157063054,-0.00270423789847962,0.902815110955061,18,Male,68,183,2,30,2,20.3051748335274,2.83333333333333,,,,,
60,60,2,1,3,85,0,0,0,0,0,0,0,0,0,200,1.12612612612613,0.578044754218635,0.641843118383061,0.734930830300603,0.548089441689725,1.03018642723022,1.20328630561095,0.1,0.389405204460967,0.482342007434944,0.754873294346979,0.969298245614035,0.0844594594594595,0.191441441441441,0.657394366197183,0.832947976878613,0.96878612716763,-207.8,-121.3,-50.3,-22.2,0,25,51.9,85,136.3,10,40,50,86,130,-7.5,-17,-95,-150,-197,67.02,62.76,-106.15,-100,0.986569463447401,0.013613371435264,0.999721520498674,0.995980080087365,0.004036144891856,1.01558564042359,19,Male,87,189,0,7,4,24.355421180818,3.16666666666667,3,0.666666666666667,0.5,0.333333333333333,0.833333333333333
61,61,2,2,2,100,10,12,14,17,19,21,23,26,28,30,1.64705882352941,0.494137931034483,0.545278637770898,1.01979461302499,0.814249227846564,1.83045459343299,0.870832328827894,0.0714285714285714,0.336705202312139,0.420520231213873,0.420520231213873,0.8828125,0.342213114754098,0.460040983606557,0.590178571428571,0.769090909090909,0.933636363636363,-96.9,-69.4,-41.4,-17,0,28,79.9,113,145,8,46,63.4,63.4,130,-26,-37.5,-51.5,-71.5,-89.6,70.2,70.3,-47.8,-47.5,0.995393438893136,0.00462787971757783,0.980658542338424,0.996968190550475,0.0030410292708043,0.992700400103064,19,Female,30,170,0,3,4,10.3806228373702,3.75,1,0.333333333333333,0.5,0.333333333333333,0.333333333333333
62,62,2,1,3,100,0,0,0,0,0,0,0,0,0,200,1.27722772277228,0.701906719591721,0.617280285035629,0.42397722850068,0.566885425559442,0.805200734505933,0.840888360313133,0.534869494290375,0.58442088091354,0.780735455543359,0.859357848518112,0.774698133918771,0.0680693069306931,0.325443786982249,0.570630081300813,0.670731707317073,0.774909963985594,-252.6,-169.3,-70.9,-20.2,0,25.8,47.9,170.5,352.7,65,89.3,192.9,250.2,188.5,-5.5,-35.5,-98.7,-138.1,-177.6,93.7,93.7,-98.7,-82.9,0.952207466809299,0.0501913026904175,0.822103185128126,0.962935243970728,0.0384914315488474,0.924842091696555,18,Male,82,190,0,1,3,22.7146814404432,3.25,0,0.5,0.5,0.5,0.666666666666667
63,63,1,2,2,100,5,6,7,8,9,11,12,13,14,15,1.44628099173554,0.505148840429214,0.550606171932403,0.918521592432802,0.790758212029785,0.531292839150853,0.868982556716625,0.548701298701299,0.432608695652174,0.521645021645022,0.489130434782609,0.510822510822511,0.315436241610738,0.542792792792793,0.623873873873874,0.736486486486486,0.959549071618037,-136.1,-98.4,-54,-24.2,0,35,150,242.4,288.9,168,119,158,145,154,-32,-61.6,-76,-96,-130,140.94,140.94,-79.1,-77.68,0.996852604709192,0.00315733266476892,0.987469730803983,1.01806194134547,-0.0177414954944716,1.08779040994827,18,Female,58,168,0,15,1,20.5498866213152,3.25,2,0.666666666666667,0.5,0.333333333333333,0.333333333333333
64,64,1,1,3,100,0,0,0,0,0,0,0,0,0,100,1.3,0.55,0.394230769230769,0.765413874825598,1.40786398103931,0.691258684239035,0.638607375187513,0.33125,0.601351351351351,0.540540540540541,0.547297297297297,0.8,0.625,0.525,0.575,0.625,0.675,-26,-25,-15,-10,0,13,53,90,120,26,68,59,60,96,-20,-16,-18,-20,-22,59.12,59.12,-13,-13,0.997817656007928,0.00218711703379015,0.991299158231448,1,0,1,19,Male,68,180,0,0,0,20.9876543209877,2.33333333333333,2,0.5,0.666666666666667,0.166666666666667,0.666666666666667
65,65,1,1,3,100,0,0,0,0,0,0,0,0,0,100,1,0.5,0.5,1,1,1,1,0.1,0.3,0.5,0.7,0.9,0.1,0.3,0.5,0.7,0.9,-100,-75,-50,-25,0,25,50,75,100,10,30,50,70,90,-10,-30,-50,-70,-90,48.4,43.8,-50,-48.4,0.973869626875677,0.0268314899686863,0.993972882289688,0.993516471024467,0.0065258394446619,1.00652583944466,20,Male,80,180,0,0,5,24.6913580246914,3.83333333333333,2,0.333333333333333,0.5,0.833333333333333,0.5
66,66,2,1,3,80,0,0,0,0,0,0,0,0,0,200,0.961538461538462,0.512939453125,0.435259579728059,0.964811714812434,1.34511319427638,0.969612468348396,1.66150405621585,0.166666666666667,0.208333333333333,0.701793721973094,0.643497757847534,0.903426791277259,0.120192307692308,0.16025641025641,0.381736526946108,0.738562091503268,0.86864406779661,-80.9,-63.2,-47.9,-31.2,0,30,48,70.3,102.4,20,25,66,60.8,90,-15,-20,-40,-62.5,-71.6,52.8,50.6,-29.8,-37,0.997476839153735,0.00252954329085564,1.03608701754327,0.971871912877236,0.0289421751468157,0.632458083695919,19,Male,78,181,0,4,4,23.8087970452672,2.25,3,0.666666666666667,0.666666666666667,0.333333333333333,0.5
67,67,2,1,3,81,0,0,0,0,0,0,0,0,0,200,2.35384615384615,0.67135761589404,0.64,0.48875620644268,0.589080440020176,0.782792193077604,0.737936387173656,0.664159292035398,0.731858407079646,0.829781105990783,0.809331797235023,0.817108294930876,0.180769230769231,0.305555555555556,0.730769230769231,0.502747252747253,0.78894472361809,-40,-20.1,-11,-6.5,0,15.3,37.9,94.4,181.2,75,90.3,122.1,115,117.7,-4.7,-7.5,-19.4,-11.1,-23.2,139.1,116.1,-23.8,-38.6,1.02075580889528,-0.0203337651516672,1.17415805493875,1.05624637867324,-0.0532511919651698,1.00912144787839,18,Male,87,177,0,20,7,27.7697979507804,2.58333333333333,1,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667
68,68,1,2,4,100,15,14,13,12,11,9,8,7,6,5,1,0.465116279069768,0.375,1.11739289445649,2.01491930502991,0.752403269503682,2.64142382086511,0.144153225806452,0.543286219081272,0.825819672131148,0.57773851590106,0.693462897526502,0.0685483870967742,0.0997983870967742,0.380718954248366,0.438725490196078,0.763020833333333,-70.6,-61,-55.4,-24.8,0,24.8,36.9,65.2,77.4,14.3,41.8,68.9,45.7,58.8,-6.8,-9.9,-40.8,-47.9,-61.5,15.7,18.1,-18.9,-18.9,0.812306814338875,0.231061936632755,0.377660412799174,0.892848854125228,0.120010397481838,0.635494479710821,17,Male,58,171,0,4,6,19.8351629561233,3.33333333333333,0,0.5,0.833333333333333,0.5,0.5
69,69,2,2,3,100,20,20,20,20,20,20,20,20,20,20,0.92,0.659090909090909,0.44,0.539618525012462,1.28021361880153,1.72563165802085,3.9148988578226,0.964,0.016304347826087,0.0434782608695652,0.995,0.998,0.05,0.035,0.430555555555556,0.569444444444444,0.09,-200,-176,-122,-50,0,46,147,168,418,382,3,8,413,416,-10,-7,-102,-137,-18,7.53,7.53,-104.12,-101,0.553044571684562,0.808172525686351,0.0935492986204737,1.00163399564627,-0.00163133006005789,1.0320840709248,21,Female,38,132,0,13,2,21.8089990817264,3.75,0,0.333333333333333,0.666666666666667,0.666666666666667,0.833333333333333
70,70,2,2,3,70,20,20,20,20,20,20,20,20,20,20,1.02473498233216,0.57454128440367,0.466997264021888,0.769008130944447,1.17342485035818,0.939729583478236,1.03635772360798,0.232758620689655,0.696428571428571,0.759803921568627,0.894607843137255,0.981862745098039,0.0865724381625442,0.420940170940171,0.706818181818182,0.83710407239819,0.958144796380091,-73.1,-51,-40,-28.3,0,29,44,58,109,27,55,60,87.5,105.3,-9.8,-36.3,-49.1,-58.7,-69.4,54.5,53.8,-36.9,-36.69,0.996336897854393,0.00367656979631659,1.00367656979632,1.00139958560523,-0.00139762950309696,1.01612171033018,17,Male,64,174,0,4,5,21.1388558594266,,,,,,
71,71,2,1,3,100,0,0,0,0,0,0,0,0,0,200,2.97029702970297,0.537112561174551,0.533636363636364,0.829800315287857,0.856695184192238,0.679694167776518,0.730050445083016,0.625745526838966,0.40748031496063,0.595924453280318,0.720178926441352,0.705268389662028,0.315436241610738,0.437919463087248,0.541666666666667,0.75,0.701666666666667,-55,-40,-25,-10.1,0,30,42.7,93,122.6,68,38,62,87,84,-14,-21.3,-27.5,-40,-37.1,60.38,55,-30.1,-30.8,0.989198700824893,0.0109192411657029,1.00311684433791,1.01952982058869,-0.019155712951495,1.05931183001239,22,Male,75,178,0,1,2,23.6712536295922,3.25,3,0.5,0.666666666666667,0.666666666666667,0.666666666666667
72,72,2,1,3,65,0,0,0,0,0,0,0,0,0,200,1.27777777777778,0.620057034220532,0.589285714285714,0.586480780414663,0.72062148916369,0.78997975992455,1.05369265559919,0.291666666666667,0.54229797979798,0.642045454545455,0.657828282828283,0.846230158730159,0.138888888888889,0.222222222222222,0.6,0.753947368421053,0.865789473684211,-84,-46,-32,-18,0,23,83,162.2,263,33,96.4,128,133,201,-10,-16,-37.6,-46.6,-63.6,110,120,-40,-42.31,0.988627789027755,0.0115030258085589,0.906392754881135,1.00162628075981,-0.00162364026488881,0.945830235538527,18,Male,65,178,7,5,0,20.5150864789799,,,,,,
73,73,2,2,2,76,10,12,14,17,19,21,23,26,28,30,0.892857142857143,0.553104575163399,0.670358649789029,0.800500375853582,0.516151188803784,0.60972355622113,0.849264238317432,0.388888888888889,0.2,0.6953125,0.5234375,0.6328125,0.453703703703704,0.361111111111111,0.700892857142857,0.837301587301587,0.833333333333333,-237,-111,-55,-28,0,25,70,102,153,50,20,95,73,87,-50,-40,-100,-155,-153,40,40,-59,-184.9,0.904440329600983,0.105656135923501,0.66914413899862,1.03229444850514,-0.0312841443174486,0.655862096843439,20,Male,68,177,3,27,3,21.7051294327939,,,,,,
74,74,2,1,3,50,0,0,0,0,0,0,0,0,0,200,2.4,0.445,0.25,1.27047868463396,3.8017840160863,0.812065553878842,4.87290642917198,0.556547619047619,0.601190476190476,0.71875,0.8125,0.875,0.35,0.25,0.3,0.3,0.45,-12,-10,-10,-10,0,24,31.2,48,60,35,38,45.9,51,54,-7,-5,-6,-6,-9,30,14.1,-2,-3.5,0.796440409951249,0.255586717481112,1.25558671748111,0.897807768237125,0.113824178602879,0.37127472620096,18,Female,66,160,10,1,0,25.78125,3,1,0.833333333333333,0.166666666666667,0.166666666666667,0
74,74,2,1,3,87,0,0,0,0,0,0,0,0,0,200,0.822102425876011,0.147012578616352,0.525535019455253,24.3940019053606,0.867515435515956,3.76840339797133,0.772801900075867,0.00409836065573771,0.163934426229508,0.223770491803279,0.238524590163934,0.821428571428571,0.134097035040431,0.536798179059181,0.67412746585736,0.679059180576631,0.704097116843703,-205.6,-158.1,-92.2,-37.1,0,30.5,31,31.1,31.8,0.5,20,27.3,29.1,31.3,-19.9,-101.9,-138.1,-139.4,-146,2.5,5.5,-106,-109.2,0.808710558037867,0.236536347968856,0.194423954083153,1.00883139335145,-0.00875408260453903,1.01352110655042,20,Male,109,190,0,0,3,30.1939058171745,3,1,0.833333333333333,0.166666666666667,0.166666666666667,0
75,75,2,1,3,85,0,0,0,0,0,0,0,0,0,200,1.81363636363636,0.38433734939759,0.395408163265306,1.70745066127111,1.62846608933111,1.16930374468428,5.03049824544697,0.093984962406015,0.219298245614035,0.632352941176471,0.846153846153846,0.923076923076923,0.0340909090909091,0.0795454545454546,0.136363636363636,0.170454545454545,0.6875,-49,-40,-32,-22,0,39.9,53,70,83,15,35,62,75,79,-3,-7,-12,-15,-38,35,32,-25.3,-28.1,0.935031428457594,0.0694827677071526,0.836032000057507,1.05192111476219,-0.0493583730125337,1.01148269111466,18,Male,70,185,0,12,2,20.4528853177502,3.25,3,0.833333333333333,0.5,0.5,0.666666666666667
76,76,2,1,3,40,0,0,0,0,0,0,0,0,0,200,0.619047619047619,0.502777777777778,0.467307692307692,0.985520093377838,1.16501773284989,0.500013786196943,3.75503003092857,0.377631578947368,0.289473684210526,0.434210526315789,0.363157894736842,0.605263157894737,0.0238095238095238,0.0476190476190476,0.366666666666667,0.107142857142857,0.921875,-65,-49,-36,-21,0,13,51,70,90,32.4,19,41,30.2,59,-2,-4,-28,-9,-60,65.09,87.59,-28.45,-28.45,1.16062591257768,-0.138395938637059,1.28231301589702,0.967373295129531,0.0337271093121299,0.875742400153106,18,Female,69,172,0,6,4,23.3234180638183,3.81818181818182,2,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667
78,78,2,2,2,100,10,12,14,17,19,21,23,26,28,30,1.13183279742765,0.559815618221258,0.510771276595745,0.781826120672089,0.827992334927007,0.833329465022367,0.619846574395067,0.149147727272727,0.611111111111111,0.453367875647668,0.761428571428571,0.843142857142857,0.326226012793177,0.489339019189765,0.622695852534562,0.524193548387097,0.625576036866359,-188,-164.8,-78,-31.1,0,35.2,112.4,143,230.5,21,126,98,147,175.6,-45.4,-76,-120.6,-86.4,-121.6,112.65,112.65,-92.06,-97.94,0.991746212634537,0.00832247934029162,0.967391356057157,1.00412199607874,-0.00410507497578549,0.985704860917954,21,Male,73,181,1,3,3,22.2825921064681,3,,,,,
79,79,2,1,3,81,0,0,0,0,0,0,0,0,0,200,7.32258064516129,0.31232782369146,0.536538461538462,2.56919612146937,0.844315448187949,11.599609615414,0.781733077520468,0.0440528634361234,0.0297356828193833,0.0936123348017621,0.148678414096916,0.296511627906977,0.225806451612903,0.361111111111111,0.585106382978723,0.723404255319149,0.74468085106383,-13,-9.6,-4.9,-3.1,0,22.7,27,32,36.3,4,2.7,8.5,13.5,23.5,-2.8,-3.9,-6.5,-9.1,-9.5,8.5,8.5,-6.5,-6.5,0.859228075492837,0.163835340723032,0.545046853782136,1,0,1,19,Female,60,160,0,2,2,23.4375,3.33333333333333,3,0.666666666666667,0.5,0.166666666666667,0.333333333333333
80,80,2,1,3,100,0,0,0,0,0,0,0,0,0,200,1,0.262323943661972,0.485576923076923,22.9411725404425,1.07378752291577,3.3808303177637,0.634916505574384,0.0857142857142857,0.360294117647059,0.360294117647059,0.404411764705882,0.441176470588235,0.638888888888889,0.509259259259259,0.638888888888889,0.611111111111111,0.648148148148148,-104,-77,-50,-35,0,35,69,70,71,12,50,50,56,61,-65,-51,-65,-62,-66,35.39,35.39,-52.62,-52.62,0.999361504006747,0.000638903930852752,0.997448461048754,1.00220454423188,-0.00219969490715821,1.00884737989923,20,Male,76,186,0,0,4,21.9678575557868,2.41666666666667,3,0.666666666666667,0.166666666666667,0.666666666666667,0.166666666666667
81,81,2,2,4,50,30,28,26,23,21,19,17,14,12,10,1.92307692307692,0.62118320610687,0.535931174089069,0.637276241352256,0.853616971379377,0.947617495421324,0.745481414281204,0.14,0.483333333333333,0.753968253968254,0.741071428571429,0.936507936507937,0.819029850746269,0.666666666666667,0.625,0.694444444444444,0.957089552238806,-49.4,-36,-18,-13,0,25,40,68,131,14,39,69,67,115,-39.7,-30,-27,-32,-47.1,124.9,22.5,-25.5,-11.6,0.790767089597292,0.264594863841972,1.69578119710288,0.822378700069543,0.215984801059946,1.23876671770744,18,Male,71,184,0,20,2,20.9711720226843,2.58333333333333,2,0.833333333333333,0.833333333333333,0.833333333333333,0.5
82,82,2,1,3,81,0,0,0,0,0,0,0,0,0,200,1.4,0.487244897959184,0.529699738903394,1.06209358640912,0.873792204105173,1.89624114591048,0.962217201014291,0.0476190476190476,0.307142857142857,0.442857142857143,0.478571428571429,0.75,0.05,0.677884615384615,0.836538461538462,0.861778846153846,0.907451923076923,-76.6,-55.8,-35,-15,0,21,56,75,98,4,29,48,53,75,-3,-49.8,-63,-65.1,-68.9,16.8,12.4,-3.2,-9.6,0.800176839791355,0.249723748891244,0.555432777284997,0.784150445607347,0.275265487129158,0.126030691645608,19,Female,64,175,0,0,4,20.8979591836735,3.08333333333333,0,0.333333333333333,0.5,0.5,0.5
86,86,2,2,4,61,30,28,26,23,21,19,17,14,12,10,4.16666666666667,0.258720930232558,0.494230769230769,3.78731808159682,1.02961876259562,4.47333185558241,1.57772188020468,0.0358333333333333,0.116666666666667,0.215,0.23,0.666666666666667,0.152777777777778,0.142361111111111,0.456896551724138,0.65625,0.924242424242424,-26,-19.4,-13,-7.2,0,30,35,41,43,4.3,14,25.8,27.6,39,-4.4,-4.1,-12,-17,-24,21.5,19.5,-8,-13,0.980661736452003,0.0197196064954692,1.01971960649547,1,0,0.568965517241379,22,Male,90,187,0,7,4,25.7370814149675,2.41666666666667,0,0.833333333333333,0.666666666666667,0.333333333333333,0.333333333333333
