Subj;TSC1;TSC2;TSC3;TSC4;TSC5;TSC6;TSC7;TSC8;TSC9;TSC10;TSC11;TSC12;TSC13;CRT1;CRT2;CRT3;PQ1;PQ2;PQ3;PQ4;PQ5;PQ6;PQ7;PQ8;PQ9;PQ10;PQ11;PQ12;PQ13;PQ14;PQ15;PQ16;PQ17;PQ18;PQ19;PQ20;PQ21;PQ22;PQ23;PQ24
186;2;4;4;2;4;4;5;2;4;4;2;4;2;5;10;47;1;1;1;1;1;2;2;1;1;1;2;1;2;2;1;1;2;1;2;1;2;1;1;1
171;3;3;2;2;2;3;1;4;3;2;4;2;3;10;100;47;1;2;1;1;2;2;1;2;1;1;2;2;2;1;2;1;1;1;2;2;1;2;2;1
115;3;1;2;2;2;4;2;4;3;2;4;2;2;10;5;47;2;1;1;1;1;2;2;1;;2;1;2;2;1;2;2;1;1;2;1;2;2;2;1
138;5;3;1;1;4;4;1;4;1;4;5;1;1;10;100;;;;;;;;;;;;;;;;;;;;;;;;;
121;2;4;4;1;5;1;4;2;2;3;3;2;2;10;100;47;1;2;2;1;1;1;2;1;1;2;2;2;2;2;1;2;2;2;1;2;2;1;2;1
140;4;3;2;3;4;1;2;3;5;1;5;4;1;10;100;24;2;1;2;1;2;2;2;1;2;2;1;2;2;1;2;2;1;1;2;2;2;2;1;1
146;4;5;4;3;4;3;4;3;3;2;4;3;3;10;100;24;1;1;1;1;1;2;1;2;2;2;2;2;2;1;1;2;1;1;2;1;2;1;2;1
123;5;1;1;2;2;5;3;5;2;2;5;1;1;5;20;47;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;2;1;1;1;1;2;2;2;1
132;2;2;4;1;3;3;4;2;4;3;3;5;2;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
125;2;3;4;4;4;2;5;2;5;3;3;4;3;10;100;24;1;1;1;1;1;2;1;2;2;2;1;2;2;2;1;2;1;1;2;1;2;2;2;2
150;4;2;4;2;2;4;3;2;4;4;4;4;2;5;5;47;1;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2
178;3;4;3;3;5;2;4;4;4;3;4;4;2;5;1;47;1;1;1;1;1;2;1;2;2;1;1;2;2;1;1;2;1;1;2;1;2;2;2;1
169;1;4;2;3;4;2;2;4;4;4;3;4;3;10;5;24;;;;;;;;;;;;;;;;;;;;;;;;
163;3;1;1;1;1;5;1;4;1;4;3;1;4;5;100;24;1;1;1;1;2;2;2;2;2;1;1;2;2;1;2;2;1;1;1;1;2;2;2;1
